"","imp","pm","ap","n","r2","cx","ld.prb.int","ld.prb.x","ld.prb.z1","ld.sb.int","ld.sb.x","ld.sb.z1","ld.mcsd.int","ld.mcsd.x","ld.mcsd.z1","ld.sig.int","ld.sig.x","ld.sig.z1","ld.cic.int","ld.cic.x","ld.cic.z1","ld.ciw.int","ld.ciw.x","ld.ciw.z1","mi.prb.int","mi.prb.x","mi.prb.z1","mi.sb.int","mi.sb.x","mi.sb.z1","mi.mcsd.int","mi.mcsd.x","mi.mcsd.z1","mi.sig.int","mi.sig.x","mi.sig.z1","mi.cic.int","mi.cic.x","mi.cic.z1","mi.ciw.int","mi.ciw.x","mi.ciw.z1","mid.prb.int","mid.prb.x","mid.prb.z1","mid.sb.int","mid.sb.x","mid.sb.z1","mid.mcsd.int","mid.mcsd.x","mid.mcsd.z1","mid.sig.int","mid.sig.x","mid.sig.z1","mid.cic.int","mid.cic.x","mid.cic.z1","mid.ciw.int","mid.ciw.x","mid.ciw.z1"
"852",20,0.2,1,250,0.6,0,0.0675848039100186,0.520844546054092,0.356586706767089,0.0145731294748664,0.0368510626261024,0.0230192494933125,0.046450102898641,0.0465931083459305,0.0514314500375175,1,1,1,0.952,0.94,0.958,0.183272221480789,0.183409235371614,0.206816762562508,0.0916586142102939,0.022871456677629,0.311730008442864,0.0229445253047089,0.00180815606647045,0.0237708269142538,0.0400114836425685,0.0416986016999201,0.043540067837245,1,1,1,0.958,0.962,0.96,0.162381281876156,0.169095302932973,0.171011763016421,0.0340170949740779,0.0587148552536019,0.0957790094588377,0.00825464415803628,0.00448519706440558,0.00704032721323392,0.0412752119331076,0.0431548930208121,0.0451681472667621,1,1,1,0.954,0.96,0.946,0.167251104948838,0.174088758324477,0.178431821342134
"853",15,0.2,1,250,0.6,0,0.0675848039100186,0.520844546054092,0.356586706767089,0.0145731294748664,0.0368510626261024,0.0230192494933125,0.046450102898641,0.0465931083459305,0.0514314500375175,1,1,1,0.952,0.94,0.958,0.183272221480789,0.183409235371614,0.206816762562508,0.0901789366207507,-0.0297771532766125,0.257582470756904,0.0224721083348088,-0.00234386778694806,0.0196184750326045,0.0401931214815721,0.0418806723425954,0.043591903989075,1,1,1,0.96,0.962,0.962,0.162514018014759,0.169272488416628,0.171197661132429,0.0420841204907009,0.0343059677459865,0.0720669072509114,0.0102182544426876,0.00261502239473051,0.00531230921912752,0.0412507632266807,0.0432471847428114,0.0450409267657056,1,1,1,0.952,0.962,0.95,0.167311324398542,0.174195047082392,0.178453815971214
"854",10,0.2,1,250,0.6,0,0.0675848039100186,0.520844546054092,0.356586706767089,0.0145731294748664,0.0368510626261024,0.0230192494933125,0.046450102898641,0.0465931083459305,0.0514314500375175,1,1,1,0.952,0.94,0.958,0.183272221480789,0.183409235371614,0.206816762562508,0.0888235165651112,-0.0694308232180077,0.243876000969129,0.0221118393059141,-0.00549901030920944,0.0185872382682782,0.0402340303599788,0.0416228064690046,0.0435621171469883,1,1,1,0.958,0.962,0.956,0.163004789530906,0.170538122720433,0.172177931761176,0.0474526307471203,-0.0134307960839632,0.0837895979714647,0.0115514877406077,-0.00102948999750422,0.00618825728831178,0.041144597547808,0.0430074014659438,0.0449548470560995,1,1,1,0.952,0.962,0.956,0.167417244753339,0.174790484204111,0.178807245978291
"855",5,0.2,1,250,0.6,0,0.0675848039100186,0.520844546054092,0.356586706767089,0.0145731294748664,0.0368510626261024,0.0230192494933125,0.046450102898641,0.0465931083459305,0.0514314500375175,1,1,1,0.952,0.94,0.958,0.183272221480789,0.183409235371614,0.206816762562508,0.132952397698399,-0.103492300081195,0.284642805699727,0.03252270918956,-0.0080671297529116,0.0214501929202515,0.0409449083987244,0.042291450026616,0.044057899593913,1,1,1,0.954,0.96,0.954,0.163649817891923,0.172238372915452,0.173470414906892,0.0579343724336723,-0.051393116527131,0.0565731897696827,0.0140523387610672,-0.00387597052219869,0.00415510020279366,0.0412931621713543,0.0437107308531035,0.04520473676084,1,1,1,0.956,0.952,0.952,0.167645242113014,0.175971396646477,0.179271140350804
"856",2,0.2,1,250,0.6,0,0.0675848039100186,0.520844546054092,0.356586706767089,0.0145731294748664,0.0368510626261024,0.0230192494933125,0.046450102898641,0.0465931083459305,0.0514314500375175,1,1,1,0.952,0.94,0.958,0.183272221480789,0.183409235371614,0.206816762562508,0.197674354179632,0.0983906217387608,0.607029260525587,0.0475671456955283,0.00731945404334041,0.0449293591750903,0.0416230290683866,0.0443137594225345,0.0448574086410085,1,0.974,0.966,0.946,0.95,0.938,0.166880723925392,0.172191647522009,0.175415633401013,0.0568457837770444,0.0669371305246187,0.180777425070238,0.0136903532555238,0.00491600022229153,0.0131647144168815,0.0415885759774179,0.0448868135069866,0.0455918834364145,1,0.992,1,0.954,0.964,0.956,0.168980618325979,0.176699694615167,0.180523954477518
"857",100,0.4,1,250,0.6,0,0.00729617445568041,-0.431712080565784,-0.0220315373546323,0.00114209371183779,-0.0202872213629262,-0.000924806943293062,0.0639858457923516,0.07015121748058,0.0790949036368025,1,0.994,0.98,0.946,0.93,0.952,0.259724341119377,0.260623314468214,0.308989749918305,0.0654815902920036,-1.64829854026813,-0.0624354668419411,0.0133656588360356,-0.0983100734020967,-0.00389578832550369,0.0490703654667097,0.0552715231246973,0.0532096976753151,1,1,1,0.952,0.948,0.954,0.196478030498891,0.214799952392897,0.20986113960414,0.0299774279205123,-1.67268250921241,-0.353686669948757,0.00572214475736892,-0.0953282343475559,-0.0202088510102825,0.0524718012458074,0.0578436307986268,0.0581074543638996,1,0.996,1,0.952,0.948,0.934,0.210855789740985,0.229813480587748,0.224604668200397
"858",50,0.4,1,250,0.6,0,0.00729617445568041,-0.431712080565784,-0.0220315373546323,0.00114209371183779,-0.0202872213629262,-0.000924806943293062,0.0639858457923516,0.07015121748058,0.0790949036368025,1,0.994,0.98,0.946,0.93,0.952,0.259724341119377,0.260623314468214,0.308989749918305,0.0578249846658013,-1.54782405360304,-0.0562873587976151,0.0117606136158053,-0.0923857638335306,-0.00350264591864132,0.0492465703022194,0.0552306451917141,0.0533542984112839,1,1,1,0.954,0.944,0.958,0.196715471338652,0.214457894714852,0.21031511262162,0.0324883432146351,-1.59270826274348,-0.333067841165254,0.00620286012248672,-0.0906522621388604,-0.0190607913555128,0.0524597265545716,0.0579190148326362,0.0580158359592451,1,0.996,1,0.952,0.948,0.928,0.21093283340628,0.229687341004293,0.224794855531568
"859",25,0.4,1,250,0.6,0,0.00729617445568041,-0.431712080565784,-0.0220315373546323,0.00114209371183779,-0.0202872213629262,-0.000924806943293062,0.0639858457923516,0.07015121748058,0.0790949036368025,1,0.994,0.98,0.946,0.93,0.952,0.259724341119377,0.260623314468214,0.308989749918305,0.0664704130309509,-1.62501364433055,-0.0184462356923718,0.0134580390927055,-0.0966718859981912,-0.00112726130648412,0.0494694449538445,0.0554141147141717,0.0543297783516114,1,1,1,0.952,0.942,0.956,0.197446895775458,0.215059631590329,0.211107196019063,0.0361461505830624,-1.65899612532396,-0.357071962021082,0.00691503137253101,-0.094262336574936,-0.0203349007638341,0.0523550217636943,0.0580190682282044,0.0582999889384671,1,0.998,1,0.95,0.946,0.934,0.210983536696703,0.230200931296512,0.22551595938183
"860",20,0.4,1,250,0.6,0,0.00729617445568041,-0.431712080565784,-0.0220315373546323,0.00114209371183779,-0.0202872213629262,-0.000924806943293062,0.0639858457923516,0.07015121748058,0.0790949036368025,1,0.994,0.98,0.946,0.93,0.952,0.259724341119377,0.260623314468214,0.308989749918305,0.0764852039013587,-1.57578652774143,0.121819278769957,0.0154803913290377,-0.0937243265588387,0.00742561989358799,0.0494864089211649,0.0554253741604395,0.0544675811570015,1,1,1,0.948,0.94,0.95,0.198409754741683,0.21607192456759,0.211501513758677,0.0256756330863473,-1.65779519778726,-0.304343686181526,0.00491706211879999,-0.0941206203303796,-0.0173358108952506,0.0523005085341547,0.0580643642655345,0.0582874311344318,1,0.996,1,0.956,0.944,0.938,0.211252519493005,0.231032025613105,0.225818177847854
"861",15,0.4,1,250,0.6,0,0.00729617445568041,-0.431712080565784,-0.0220315373546323,0.00114209371183779,-0.0202872213629262,-0.000924806943293062,0.0639858457923516,0.07015121748058,0.0790949036368025,1,0.994,0.98,0.946,0.93,0.952,0.259724341119377,0.260623314468214,0.308989749918305,0.09776246638181,-1.61378523786743,0.204834689999468,0.019797653937955,-0.095396634455846,0.0124365536519268,0.0494594026410148,0.0557668692816747,0.0546837439350546,1,0.998,1,0.948,0.936,0.942,0.199422639250958,0.216964249375759,0.211410521394316,0.0346752968490571,-1.70940126120876,-0.277071609249971,0.00664811715157596,-0.0965126661764278,-0.0157857080766562,0.0522410586890472,0.0583879578475014,0.0582750613975251,1,0.996,1,0.954,0.938,0.936,0.211577087659805,0.232101910875282,0.226013094308863
"862",10,0.4,1,250,0.6,0,0.00729617445568041,-0.431712080565784,-0.0220315373546323,0.00114209371183779,-0.0202872213629262,-0.000924806943293062,0.0639858457923516,0.07015121748058,0.0790949036368025,1,0.994,0.98,0.946,0.93,0.952,0.259724341119377,0.260623314468214,0.308989749918305,0.102072942443583,-1.74713851799135,0.175293554243881,0.0204493920953312,-0.10265080714319,0.010657721244538,0.0499943214057795,0.0561084858377644,0.0546080124188528,1,0.998,1,0.946,0.948,0.95,0.201250032241136,0.218463531014673,0.213764099214417,0.0456337483303631,-1.88867678426642,-0.305559596851021,0.00870858350256662,-0.106039958820207,-0.0174842451724841,0.0524842587878544,0.0587153522356092,0.0580234864202917,1,0.998,1,0.95,0.932,0.94,0.212075660381619,0.233061996598857,0.226684896800083
"863",5,0.4,1,250,0.6,0,0.00729617445568041,-0.431712080565784,-0.0220315373546323,0.00114209371183779,-0.0202872213629262,-0.000924806943293062,0.0639858457923516,0.07015121748058,0.0790949036368025,1,0.994,0.98,0.946,0.93,0.952,0.259724341119377,0.260623314468214,0.308989749918305,0.00915627901020739,-1.95704771904526,0.220080770996313,0.00176137497045609,-0.113602536915333,0.0129323247301024,0.0520664111040061,0.0567906663312669,0.0565015390089312,1,0.996,0.998,0.918,0.934,0.936,0.202621661237851,0.22128626720579,0.218625131133348,0.0110825039447258,-1.97980900311647,-0.160704158697473,0.0020967517529334,-0.110412824474871,-0.00914544682165055,0.0529396816686518,0.0591108703742973,0.0583414161296913,1,0.996,1,0.942,0.942,0.944,0.213791599235719,0.233927568019464,0.229023921713476
"864",2,0.4,1,250,0.6,0,0.00729617445568041,-0.431712080565784,-0.0220315373546323,0.00114209371183779,-0.0202872213629262,-0.000924806943293062,0.0639858457923516,0.07015121748058,0.0790949036368025,1,0.994,0.98,0.946,0.93,0.952,0.259724341119377,0.260623314468214,0.308989749918305,-0.0463883915513884,-1.77492949012831,0.195080605612548,-0.00851281754037494,-0.100347872272065,0.0106159414638252,0.0545791081703117,0.0583091238581855,0.0610113113749206,0.998,0.788,0.768,0.91,0.892,0.884,0.202202761545835,0.223828223799875,0.225711469736966,-0.0850310508535103,-1.45459887590865,-0.271224130511105,-0.0157487318983731,-0.080308796206761,-0.0150417256501474,0.0540782217498577,0.0597095379573295,0.0598667169276909,1,0.864,0.972,0.948,0.932,0.946,0.216549737738324,0.241801479374698,0.232336307094778
"865",100,0.1,0.75,250,0.6,0,0.0484070221103994,0.487073164414249,-4.75400824733283,0.0117586025972541,0.0405146212005916,-0.351990670315679,0.0412328258282244,0.0396320008705215,0.0448418537785946,1,1,1,0.944,0.954,0.924,0.160375128712512,0.160548124858846,0.171555825646215,0.0737617170847869,0.125911565229239,0.00485445830757444,0.0193646818897563,0.0108656210136783,0.000399691700795886,0.0381514542250238,0.0382009926992986,0.0403246331079776,1,1,1,0.948,0.95,0.95,0.150971504839298,0.154039475007524,0.155744120971724,-0.91335490788053,0.336670434177903,-2.06161950501006,-0.232817074368966,0.0284517188543042,-0.163781536036187,0.0392929997096942,0.039008571754242,0.0417925003132405,1,1,1,0.94,0.956,0.93,0.153319096510186,0.156455726782049,0.159367411849391
"866",50,0.1,0.75,250,0.6,0,0.0484070221103994,0.487073164414249,-4.75400824733283,0.0117586025972541,0.0405146212005916,-0.351990670315679,0.0412328258282244,0.0396320008705215,0.0448418537785946,1,1,1,0.944,0.954,0.924,0.160375128712512,0.160548124858846,0.171555825646215,0.0721404830565162,0.138742460617364,0.0103752557416424,0.0188949651436458,0.0119524247932335,0.000852286244066852,0.0382404854352798,0.038266342278269,0.0404173757012454,1,1,1,0.948,0.956,0.95,0.151029522743628,0.1542551094174,0.155752823055188,-0.914259670308389,0.351103041632613,-2.05970822520985,-0.23342675165734,0.0296588739476401,-0.163387429035216,0.0392291936990861,0.0390250539906404,0.041854469732394,1,1,1,0.938,0.958,0.93,0.153343966567997,0.156502106260402,0.159410215525656
"867",25,0.1,0.75,250,0.6,0,0.0484070221103994,0.487073164414249,-4.75400824733283,0.0117586025972541,0.0405146212005916,-0.351990670315679,0.0412328258282244,0.0396320008705215,0.0448418537785946,1,1,1,0.944,0.954,0.924,0.160375128712512,0.160548124858846,0.171555825646215,0.0560969138247228,0.162827691301377,-0.0547610891659454,0.0146603819150143,0.0140095359211655,-0.00451674094894273,0.0383251735991785,0.0383149351685708,0.0402533170800504,1,1,1,0.946,0.952,0.95,0.151118203461314,0.154370824690926,0.156045159981232,-0.915710690230871,0.359482519793226,-2.05927146917486,-0.233431628561117,0.0303819651399608,-0.163285778159219,0.0392906333982301,0.0390054681844681,0.0418716448823784,1,1,1,0.944,0.956,0.932,0.153371391737472,0.156514192897883,0.159453612735236
"868",20,0.1,0.75,250,0.6,0,0.0484070221103994,0.487073164414249,-4.75400824733283,0.0117586025972541,0.0405146212005916,-0.351990670315679,0.0412328258282244,0.0396320008705215,0.0448418537785946,1,1,1,0.944,0.954,0.924,0.160375128712512,0.160548124858846,0.171555825646215,0.0538895080512027,0.17195631705894,-0.0594416899191317,0.0141076856594105,0.0147772944952809,-0.00489004113505923,0.0382594647874198,0.0383607231376032,0.0403583511989161,1,1,1,0.944,0.952,0.954,0.151303820329754,0.15439932434629,0.156188610937596,-0.913670166354641,0.365842592654598,-2.06183142228314,-0.233042258117008,0.0309410379995125,-0.16331728066261,0.0392685812018485,0.0389783064713782,0.0419156102815137,1,1,1,0.944,0.956,0.93,0.153384603287475,0.156504898541388,0.159499107809086
"869",15,0.1,0.75,250,0.6,0,0.0484070221103994,0.487073164414249,-4.75400824733283,0.0117586025972541,0.0405146212005916,-0.351990670315679,0.0412328258282244,0.0396320008705215,0.0448418537785946,1,1,1,0.944,0.954,0.924,0.160375128712512,0.160548124858846,0.171555825646215,0.0457810690172183,0.141910440903556,-0.115935470062286,0.0119293078491111,0.0122070889897993,-0.009519971773397,0.0384380306782768,0.0383235575707323,0.0404329516362648,1,1,1,0.948,0.962,0.95,0.15146034443296,0.154626213963268,0.156524853622992,-0.908679567902789,0.342905156997296,-2.07864895268376,-0.231499619079281,0.0289863535856815,-0.164750551205083,0.0393143344419777,0.0389981504142821,0.0418898740276332,1,1,1,0.946,0.956,0.928,0.153450864633153,0.156648248554679,0.159593183797448
"870",10,0.1,0.75,250,0.6,0,0.0484070221103994,0.487073164414249,-4.75400824733283,0.0117586025972541,0.0405146212005916,-0.351990670315679,0.0412328258282244,0.0396320008705215,0.0448418537785946,1,1,1,0.944,0.954,0.924,0.160375128712512,0.160548124858846,0.171555825646215,0.0737896038987991,0.144985534562503,-0.0277974317670132,0.0192123359412891,0.0124821857871936,-0.00226811371124149,0.0384685177688859,0.0382910795536616,0.0406906501191046,1,1,1,0.95,0.956,0.952,0.151568237159208,0.155036890189458,0.156878151313902,-0.905871063075577,0.357944094865858,-2.09871630002208,-0.230461672561157,0.0302505032481019,-0.166273533957503,0.0393693390018685,0.039007325749135,0.0419068857479712,1,1,1,0.946,0.952,0.93,0.153507039782859,0.156874910342113,0.159704421245983
